Date,Open,High,Low,Close,Volume,Adj Close
2010-07-17,0.04951,0.04951,0.04951,0.04951,0.9902,0.04951
2010-07-18,0.04951,0.08585,0.04951,0.08584,5.092,0.08584
2010-07-19,0.08584,0.09307,0.07723,0.0808,49.66,0.0808
2010-07-20,0.0808,0.08181,0.07426,0.07474,20.59,0.07474
2010-07-21,0.07474,0.07921,0.06634,0.07921,42.26,0.07921
2010-07-22,0.07921,0.08181,0.0505,0.05842,129.78,0.05842
2010-07-23,0.05842,0.06767,0.0505,0.06262,141.07,0.06262
2010-07-24,0.06262,0.06262,0.05049,0.05454,26.73,0.05454
2010-07-25,0.05454,0.05941,0.0505,0.0505,85.06,0.0505
2010-07-26,0.0505,0.056,0.05,0.056,46.91,0.056
2010-07-27,0.056,0.0605,0.053,0.06,196.92,0.06
2010-07-28,0.06,0.062,0.054,0.0589,255.76,0.0589
2010-07-29,0.0589,0.0699,0.0571,0.0699,528.32,0.0699
2010-07-30,0.0699,0.0699,0.0582,0.0627,198.53,0.0627
2010-07-31,0.0627,0.06889,0.056,0.06785,243.9,0.06785
2010-08-01,0.06785,0.06785,0.06,0.0611,162.65,0.0611
2010-08-02,0.0611,0.0633,0.06,0.0611,221.2,0.0611
2010-08-03,0.0611,0.065,0.059,0.06,606.05,0.06
2010-08-04,0.06,0.06231,0.057,0.057,210.77,0.057
2010-08-05,0.057,0.061,0.057,0.061,303.61,0.061
2010-08-06,0.061,0.0624,0.0607,0.0623,85.91,0.0623
2010-08-07,0.0623,0.0623,0.059,0.059,157.34,0.059
2010-08-08,0.059,0.061,0.059,0.0609,132.6,0.0609
2010-08-09,0.0609,0.0735,0.0593,0.071,886.93,0.071
2010-08-10,0.071,0.071,0.06651,0.07,88.87,0.07
2010-08-11,0.07,0.07541,0.06,0.067,1015.64,0.067
2010-08-12,0.067,0.07,0.06141,0.07,134.49,0.07
2010-08-13,0.07,0.07,0.0645,0.0645,233.8,0.0645
2010-08-14,0.0645,0.0695,0.0645,0.067,295.31,0.067
2010-08-15,0.067,0.067,0.065,0.06529,294.95,0.06529
2010-08-16,0.06529,0.0679,0.062,0.0655,696.8,0.0655
2010-08-17,0.0655,0.0769,0.06243,0.07,915.0,0.07
2010-08-18,0.07,0.0733,0.067,0.068,203.83,0.068
2010-08-19,0.068,0.068,0.0667,0.0667,50.04,0.0667
2010-08-20,0.0667,0.0667,0.065,0.0655,276.41,0.0655
2010-08-21,0.0655,0.0669,0.0644,0.0664,688.51,0.0664
2010-08-22,0.0664,0.0664,0.0612,0.066,1183.64,0.066
2010-08-23,0.066,0.06689,0.063,0.06491,281.88,0.06491
