date_time,ES=F,NQ=F,GC=F,CL=F,EURUSD=X,BTC-USD,cash,event,ticker,B_S,exectype,size,price,pos,commision,portfolio_value,portfolio_value_eur,pos_value,ddn,dayly_profit,dayly_profit_eur,pre_portfolio_value,exchange_rate,ddn_eur,date
2022-01-04 23:59:59,0,0,0,0,0,0,0,End of Day,,,,,,,,226044.89,200000.0,0.0,,0.0,0.0,,0.88,,2022-01-04
2022-01-05 23:59:59,0,0,0,0,0,0,0,End of Day,,,,,,,,226044.89,200000.0,0.0,,0.0,0.0,226044.89,0.88,,2022-01-05
2022-01-06 23:59:59,0,0,0,0,0,0,0,End of Day,,,,,,,,226044.89,200000.0,0.0,,0.0,0.0,226044.89,0.89,,2022-01-06
2022-01-07 23:59:59,0,0,0,0,0,0,0,End of Day,,,,,,,,226044.89,200000.0,0.0,,0.0,0.0,226044.89,0.88,,2022-01-07
2022-01-10 23:59:59,0,0,0,0,0,0,0,End of Day,,,,,,,,226044.89,200000.0,0.0,,0.0,0.0,226044.89,0.89,0.0,2022-01-10
2022-01-11 00:00:02,0,0,0,0,0,0,0,Created,NQ=F,Buy,Stop,2,15723.625,0,0.0,,,,,,,,,,2022-01-11
2022-01-11 10:00:02,0,2,0,0,0,0,0,Executed,NQ=F,Buy,Stop,2,15723.625,2,10.0,,,,,,,,,,2022-01-11
2022-01-11 23:59:59,0,2,0,0,0,0,0,End of Day,,,,,,,,226464.39,200369.48,63324.0,,419.5,369.48,226044.89,0.88,0.0,2022-01-11
2022-01-12 23:59:59,0,2,0,0,0,0,0,End of Day,,,,,,,,226689.39,200568.06,63549.0,,225.0,198.58,226464.39,0.88,0.0,2022-01-12
2022-01-13 23:59:59,0,2,0,0,0,0,0,End of Day,,,,,,,,225101.39,199170.97,61961.0,,-1588.0,-1397.09,226689.39,0.88,-0.007,2022-01-13
2022-01-14 00:00:02,0,2,0,0,0,0,0,Created,NQ=F,Buy,Stop,1,15681.057,2,0.0,,,,,,,,,,2022-01-14
2022-01-14 23:59:00,0,2,0,0,0,0,0,Canceled,NQ=F,Buy,Stop,1,15681.057,2,0.0,,,,,,,,,,2022-01-14
2022-01-14 23:59:59,0,2,0,0,0,0,0,End of Day,,,,,,,,225523.39,199539.79,62383.0,,422.0,368.83,225101.39,0.87,-0.005,2022-01-14
2022-01-18 23:59:59,0,2,0,0,0,0,0,End of Day,,,,,,,,223964.39,198179.07,60824.0,,-1559.0,-1360.73,225523.39,0.87,-0.012,2022-01-18
2022-01-19 23:59:59,0,2,0,0,0,0,0,End of Day,,,,,,,,223274.39,197574.36,60134.0,,-690.0,-604.7,223964.39,0.88,-0.015,2022-01-19
2022-01-20 00:00:03,0,2,0,0,0,0,0,Created,GC=F,Buy,Stop,1,1840.6,0,0.0,,,,,,,,,,2022-01-20
2022-01-20 10:00:03,0,2,1,0,0,0,0,Executed,GC=F,Buy,Stop,1,1840.6,1,5.0,,,,,,,,,,2022-01-20
2022-01-20 23:59:59,0,2,1,0,0,0,0,End of Day,,,,,,,,222518.39,196907.09,77789.0,,-756.0,-667.28,223274.39,0.88,-0.019,2022-01-20
2022-01-21 23:59:59,0,2,1,0,0,0,0,End of Day,,,,,,,,220753.4,195351.12,76024.0,,-1765.0,-1555.97,222518.39,0.88,-0.027,2022-01-21
2022-01-24 23:59:59,0,2,1,0,0,0,0,End of Day,,,,,,,,221150.39,195702.02,76421.0,,397.0,350.9,220753.4,0.88,-0.025,2022-01-24
2022-01-25 00:00:03,0,2,1,0,0,0,0,Created,GC=F,Sell,Stop,-1,1823.7,1,0.0,,,,,,,,,,2022-01-25
2022-01-25 23:59:00,0,2,1,0,0,0,0,Canceled,GC=F,Sell,Stop,-1,1823.7,1,0.0,,,,,,,,,,2022-01-25
2022-01-25 23:59:59,0,2,1,0,0,0,0,End of Day,,,,,,,,219819.39,194528.45,75090.0,,-1331.0,-1173.57,221150.39,0.88,-0.031,2022-01-25
2022-01-26 00:00:03,0,2,1,0,0,0,0,Created,GC=F,Sell,Stop,-1,1823.7,1,0.0,,,,,,,,,,2022-01-26
2022-01-26 23:59:00,0,2,1,0,0,0,0,Canceled,GC=F,Sell,Stop,-1,1823.7,1,0.0,,,,,,,,,,2022-01-26
