endoftrain,vol_factor,kelly_factor,post_factor
1998-12-31,1.875,1,1.875
1999-12-31,1.3846153846153846,1,1.3846153846153846
2000-12-31,1.3235294117647058,1,1.3235294117647058
2001-12-31,1.4285714285714286,1,1.4285714285714286
2002-12-31,1.5,1,1.5
2003-12-31,1.6981132075471699,1,1.6981132075471699
2004-12-31,2.3684210526315788,1,2.3684210526315788
2005-12-31,2.5,1,2.5
2006-12-31,2.25,1,2.25
2007-12-31,2.0,1,2.0
2008-12-31,2.0,1,2.0
2009-12-31,2.195121951219512,1,2.195121951219512
2010-12-31,1.875,1,1.875
2011-12-31,1.607142857142857,1,1.607142857142857
2012-12-31,1.7307692307692308,1,1.7307692307692308
2013-12-31,1.40625,1,1.40625
2014-12-31,1.4516129032258065,1,1.4516129032258065
2015-12-31,1.4285714285714286,1,1.4285714285714286
2016-12-31,1.6363636363636362,1,1.6363636363636362
2017-12-31,1.6666666666666665,1,1.6666666666666665
2018-12-31,1.6666666666666665,1,1.6666666666666665
2019-12-31,1.7999999999999998,1,1.7999999999999998
2020-12-31,1.5517241379310343,1,1.5517241379310343
2021-12-31,1.4516129032258065,1,1.4516129032258065
2022-12-31,1.5,1,1.5
2023-12-31,1.5517241379310343,1,1.5517241379310343
2024-12-31,1.5517241379310343,1,1.5517241379310343
2025-12-31,1.7307692307692308,1,1.7307692307692308
